method,n,i,j,x,y,u1,u2
SRT,12,1,7,0.125,0.6249999999999999,-1.70986070565111,5.492325031875877e-15
SRT,12,1,8,0.125,0.7083333333333333,-2.335713160852212,8.47325870313591e-15
SRT,12,1,9,0.125,0.7916666666666666,-2.3357131608522024,1.2936998680951106e-14
SRT,12,1,10,0.125,0.8749999999999999,-1.7098607056511155,4.003665724402212e-15
SRT,12,1,11,0.125,0.9583333333333333,-0.6258524552010868,-1.008459925822278e-14
SRT,12,2,0,0.20833333333333331,0.041666666666666664,0.6258524552010878,3.3316447329181887e-15
SRT,12,2,1,0.20833333333333331,0.125,1.709860705651102,-1.8754220898276427e-14
SRT,12,2,2,0.20833333333333331,0.20833333333333331,2.3357131608521993,-5.231310898165268e-15
SRT,12,2,3,0.20833333333333331,0.2916666666666667,2.3357131608522113,-5.700435352487044e-15
SRT,12,2,4,0.20833333333333331,0.375,1.7098607056511168,-2.7717068628750623e-15
SRT,12,2,5,0.20833333333333331,0.4583333333333333,0.6258524552011153,5.129122278008819e-15
SRT,12,2,6,0.20833333333333331,0.5416666666666666,-0.625852455201082,-1.7271169651780847e-15
SRT,12,2,7,0.20833333333333331,0.6249999999999999,-1.7098607056511061,6.34479738446882e-15
SRT,12,2,8,0.20833333333333331,0.7083333333333333,-2.335713160852222,8.576058646344449e-16
SRT,12,2,9,0.20833333333333331,0.7916666666666666,-2.335713160852213,1.8798501301507874e-14
SRT,12,2,10,0.20833333333333331,0.8749999999999999,-1.709860705651118,-7.933258044585804e-17
SRT,12,2,11,0.20833333333333331,0.9583333333333333,-0.6258524552010978,-1.3150566619576762e-14
SRT,12,3,0,0.2916666666666667,0.041666666666666664,0.6258524552010738,-9.44248356691113e-15
SRT,12,3,1,0.2916666666666667,0.125,1.7098607056510853,-7.048950073135508e-15
SRT,12,3,2,0.2916666666666667,0.20833333333333331,2.3357131608521993,-2.555839600365491e-15
SRT,12,3,3,0.2916666666666667,0.2916666666666667,2.335713160852193,-5.038168564810881e-16
SRT,12,3,4,0.2916666666666667,0.375,1.7098607056511088,1.5072896354844966e-15
SRT,12,3,5,0.2916666666666667,0.4583333333333333,0.6258524552010908,-6.288820726848738e-15
SRT,12,3,6,0.2916666666666667,0.5416666666666666,-0.6258524552010875,-1.4642929528414648e-15
SRT,12,3,7,0.2916666666666667,0.6249999999999999,-1.7098607056511108,-3.1735075917872068e-15
SRT,12,3,8,0.2916666666666667,0.7083333333333333,-2.335713160852204,7.475828412876045e-15
SRT,12,3,9,0.2916666666666667,0.7916666666666666,-2.3357131608522255,1.8510824513116748e-14
SRT,12,3,10,0.2916666666666667,0.8749999999999999,-1.70986070565113,7.431537395205892e-15
SRT,12,3,11,0.2916666666666667,0.9583333333333333,-0.6258524552011184,-5.254397820105017e-16
SRT,12,4,0,0.375,0.041666666666666664,0.6258524552010699,1.402520916669829e-15
SRT,12,4,1,0.375,0.125,1.7098607056511,-5.235959609340135e-15
SRT,12,4,2,0.375,0.20833333333333331,2.335713160852195,1.410053014801224e-15
SRT,12,4,3,0.375,0.2916666666666667,2.3357131608522077,1.0600120478028912e-14
SRT,12,4,4,0.375,0.375,1.7098607056510953,-6.924156233178087e-16
SRT,12,4,5,0.375,0.4583333333333333,0.6258524552010908,8.614759654806052e-15
SRT,12,4,6,0.375,0.5416666666666666,-0.625852455201109,1.1672328868815558e-15
SRT,12,4,7,0.375,0.6249999999999999,-1.7098607056511186,-1.8331704376365724e-15
SRT,12,4,8,0.375,0.7083333333333333,-2.3357131608522095,-1.7636728123669495e-15
SRT,12,4,9,0.375,0.7916666666666666,-2.3357131608522232,1.4635535265822428e-14
SRT,12,4,10,0.375,0.8749999999999999,-1.70986070565113,1.1374701498173358e-14
