rate_choice,a_exact,s_plus_exact,n,h,status,e_u2,d2
interior,1/5,7/4,128,0.0078125,regular,0.0002127883726101695,1.8999905227473467e-05
interior,1/5,9/5,96,0.010416666666666666,regular,0.0003784013862913536,2.621800804958909e-05
interior,1/5,9/5,128,0.0078125,regular,0.00021286042041652822,1.901176838501752e-05
interior,1/5,37/20,96,0.010416666666666666,regular,0.0003785226844888243,2.6243295563838746e-05
interior,1/5,37/20,128,0.0078125,regular,0.00021292857409776754,1.9022988070401866e-05
interior,1/5,19/10,96,0.010416666666666666,regular,0.00037863759956827104,2.626726716751357e-05
interior,1/5,19/10,128,0.0078125,regular,0.0002129931410575938,1.903361595885316e-05
interior,1/5,39/20,96,0.010416666666666666,regular,0.00037874662246446594,2.6290023167988348e-05
interior,1/5,39/20,128,0.0078125,regular,0.00021305439717550292,1.9043697428592553e-05
interior,1/5,2,96,0.010416666666666666,regular,0.0003788507677672141,2.6311653388881743e-05
interior,1/5,2,128,0.0078125,regular,0.0002131128771455674,2.0144524529996327e-05
SRT,1/5,20/11,96,0.010416666666666666,regular,0.0003784462664982479,2.6227362425679455e-05
SRT,1/5,20/11,128,0.0078125,regular,0.0002128856372383975,1.9015919705477534e-05
OTRT,6/25,2/13,96,0.010416666666666666,regular,0.0004205509826783257,2.0482584919413656e-05
OTRT,6/25,2/13,128,0.0078125,regular,0.00023658436223395713,1.5697605658684882e-05
interior,6/25,1/20,96,0.010416666666666666,regular,0.00040248140907198695,2.3119746297117617e-05
interior,6/25,1/20,128,0.0078125,regular,0.00022640496435392672,1.3923198949510319e-05
interior,6/25,1/10,96,0.010416666666666666,regular,0.000415853340249427,1.992929185265934e-05
interior,6/25,1/10,128,0.0078125,regular,0.00023394113640135523,1.4609793497340951e-05
interior,6/25,3/20,96,0.010416666666666666,regular,0.00042032707896181654,2.0418386432481168e-05
interior,6/25,3/20,128,0.0078125,regular,0.0002364584287261811,1.563497619917537e-05
interior,6/25,1/5,96,0.010416666666666666,regular,0.0004225670465294406,2.1245040171662672e-05
interior,6/25,1/5,128,0.0078125,regular,0.00023771805837981597,1.630381591796739e-05
interior,6/25,1/4,96,0.010416666666666666,regular,0.00042391201948094716,2.1935111294217026e-05
interior,6/25,1/4,128,0.0078125,regular,0.00023847414965163185,1.674517824182695e-05
interior,6/25,3/10,96,0.010416666666666666,regular,0.00042480908124980154,2.2470721854221556e-05
interior,6/25,3/10,128,0.0078125,regular,0.00023897834058253045,1.7052617597857145e-05
interior,6/25,7/20,96,0.010416666666666666,regular,0.000425450041722492,2.2887224396264583e-05
interior,6/25,7/20,128,0.0078125,regular,0.00023933854045965865,1.7277403022593902e-05
interior,6/25,2/5,96,0.010416666666666666,regular,0.00042593087242245674,2.3216631846195634e-05
interior,6/25,2/5,128,0.0078125,regular,0.00023960872499901532,1.7448303057757745e-05
interior,6/25,9/20,96,0.010416666666666666,regular,0.000426304917158157,2.3482164420447245e-05
interior,6/25,9/20,128,0.0078125,regular,0.00023981888900680517,1.7582355327735645e-05
interior,6/25,1/2,96,0.010416666666666666,regular,0.0004266041940387587,2.3700062129399793e-05
interior,6/25,1/2,128,0.0078125,regular,0.00023998703309110212,1.7690190102536365e-05
interior,6/25,11/20,96,0.010416666666666666,regular,0.00042684908408046045,2.3881734808450734e-05
interior,6/25,11/20,128,0.0078125,regular,0.0002401246140252468,1.7778747073223167e-05
interior,6/25,3/5,96,0.010416666666666666,regular,0.00042705317775680856,2.40353304236732e-05
interior,6/25,3/5,128,0.0078125,regular,0.00024023927064152213,1.785273464648729e-05
interior,6/25,13/20,96,0.010416666666666666,regular,0.000427225885631732,2.4166779909808554e-05
interior,6/25,13/20,128,0.0078125,regular,0.00024033629191899157,1.7915453411804173e-05
interior,6/25,7/10,96,0.010416666666666666,regular,0.00042737393059572883,2.428048365275073e-05
interior,6/25,7/10,128,0.0078125,regular,0.00024041945603250323,1.7969281882179782e-05
interior,6/25,3/4,96,0.010416666666666666,regular,0.000427502243426127,2.4379765367543836e-05
