choice,ell,s_plus,h,y,u_numerical,u_exact
tuned,0.0,0.3333333333333334,0.03125,0.765625,0.07177734375000029,0.07177734374999999
tuned,0.0,0.3333333333333334,0.03125,0.796875,0.06474609375000039,0.06474609375
tuned,0.0,0.3333333333333334,0.03125,0.828125,0.056933593750000414,0.05693359374999999
tuned,0.0,0.3333333333333334,0.03125,0.859375,0.04833984375000043,0.04833984374999999
tuned,0.0,0.3333333333333334,0.03125,0.890625,0.038964843750000366,0.03896484375
tuned,0.0,0.3333333333333334,0.03125,0.921875,0.028808593750000284,0.028808593749999997
tuned,0.0,0.3333333333333334,0.03125,0.953125,0.01787109375000019,0.01787109375
tuned,0.0,0.3333333333333334,0.03125,0.984375,0.006152343750000065,0.00615234375
SRT,0.0,1.8181818181818181,0.03125,0.015625,0.0060566406250000555,0.00615234375
SRT,0.0,1.8181818181818181,0.03125,0.046875,0.017775390625000175,0.017871093749999997
SRT,0.0,1.8181818181818181,0.03125,0.078125,0.02871289062500032,0.028808593749999997
SRT,0.0,1.8181818181818181,0.03125,0.109375,0.038869140625000596,0.03896484374999999
SRT,0.0,1.8181818181818181,0.03125,0.140625,0.04824414062500113,0.04833984374999999
SRT,0.0,1.8181818181818181,0.03125,0.171875,0.05683789062500184,0.05693359375
SRT,0.0,1.8181818181818181,0.03125,0.203125,0.0646503906250026,0.06474609375
SRT,0.0,1.8181818181818181,0.03125,0.234375,0.07168164062500314,0.07177734374999999
SRT,0.0,1.8181818181818181,0.03125,0.265625,0.07793164062500323,0.07802734374999999
SRT,0.0,1.8181818181818181,0.03125,0.296875,0.08340039062500285,0.08349609375
SRT,0.0,1.8181818181818181,0.03125,0.328125,0.08808789062500244,0.08818359375
SRT,0.0,1.8181818181818181,0.03125,0.359375,0.0919941406250019,0.09208984375
SRT,0.0,1.8181818181818181,0.03125,0.390625,0.09511914062500104,0.09521484374999999
SRT,0.0,1.8181818181818181,0.03125,0.421875,0.09746289062499995,0.09755859374999999
SRT,0.0,1.8181818181818181,0.03125,0.453125,0.0990253906249989,0.09912109374999999
SRT,0.0,1.8181818181818181,0.03125,0.484375,0.09980664062499828,0.09990234375
SRT,0.0,1.8181818181818181,0.03125,0.515625,0.09980664062499842,0.09990234374999998
SRT,0.0,1.8181818181818181,0.03125,0.546875,0.09902539062499889,0.09912109375
SRT,0.0,1.8181818181818181,0.03125,0.578125,0.09746289062499915,0.09755859374999999
SRT,0.0,1.8181818181818181,0.03125,0.609375,0.09511914062499896,0.09521484375
SRT,0.0,1.8181818181818181,0.03125,0.640625,0.09199414062499875,0.09208984375
SRT,0.0,1.8181818181818181,0.03125,0.671875,0.0880878906249989,0.08818359374999998
SRT,0.0,1.8181818181818181,0.03125,0.703125,0.08340039062499913,0.08349609375
SRT,0.0,1.8181818181818181,0.03125,0.734375,0.0779316406249994,0.07802734374999999
SRT,0.0,1.8181818181818181,0.03125,0.765625,0.07168164062499988,0.07177734374999999
SRT,0.0,1.8181818181818181,0.03125,0.796875,0.06465039062500035,0.06474609375
SRT,0.0,1.8181818181818181,0.03125,0.828125,0.05683789062500061,0.05693359374999999
SRT,0.0,1.8181818181818181,0.03125,0.859375,0.04824414062500083,0.04833984374999999
SRT,0.0,1.8181818181818181,0.03125,0.890625,0.03886914062500098,0.03896484375
SRT,0.0,1.8181818181818181,0.03125,0.921875,0.028712890625000896,0.028808593749999997
SRT,0.0,1.8181818181818181,0.03125,0.953125,0.01777539062500061,0.01787109375
SRT,0.0,1.8181818181818181,0.03125,0.984375,0.0060566406250002055,0.00615234375
